Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Свитер,https://i.ibb.co/6cKBTDPy/dc55c4fbbe88.jpg,Худи и свитшоты,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Зип зуди,https://i.ibb.co/VWRMKfV5/b2422b4cb8b4.jpg,Худи и свитшоты,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Штаны,https://i.ibb.co/jZ4YwsYJ/8226921e8acf.jpg,Штаны и джинсы,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик LV,https://i.ibb.co/RJJ6j2Z/126badbb1d3d.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/VYN9wQvD/3c48b43b8ada.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/YF8Yzfq8/7b489bc880fb.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/YF2HX2X9/b3d4a9b0f33b.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/5gFgxLZm/b277e84732a0.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Куртка-пуховик Descente,https://i.ibb.co/4Rn1ftHD/c96c64c3b5e9.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/LDbHYCmW/208ef69c563e.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик Maya,https://i.ibb.co/1tYggpzH/613494cd521e.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик 2 в 1 Verone,https://i.ibb.co/G32XwcRg/fd81b05fd365.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/tpSsXWVY/e107dbb5deac.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Пуховик,https://i.ibb.co/jZfpXFxX/c199ff82ce9b.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
Куртка Tom Ford,https://i.ibb.co/MyHVhQ3w/558f7f77b4ac.jpg,Зимняя одежда,,"Stylish streetwear piece. Easy to style with everyday basics for a clean, modern look.",https://t.me/+0uo05xuDQ1M2NWVi,,"streetwear, y2k, old money, outfit, oversized, unisex, street style, aesthetic, fashion"
